<freq>|<word_list>
1      | animosity received stroke
1      | received stroke tore
1      | stroke tore felt
1      | tore felt agonizing
1      | felt agonizing bodily
1      | agonizing bodily laceration
1      | bodily laceration collision
1      | laceration collision forced
1      | collision forced turn
1      | forced turn long
1      | turn long months
1      | long months days
1      | months days weeks
1      | days weeks ahab
1      | weeks ahab anguish
1      | ahab anguish lay
1      | anguish lay stretched
1      | lay stretched hammock
1      | stretched hammock rounding
1      | hammock rounding mid
1      | rounding mid winter
1      | mid winter dreary
1      | winter dreary howling
1      | dreary howling patagonian
1      | howling patagonian cape
1      | patagonian cape torn
1      | cape torn body
1      | torn body gashed
1      | body gashed soul
1      | gashed soul bled
1      | soul bled interfusing
1      | bled interfusing mad
1      | interfusing mad homeward
1      | mad homeward voyage
1      | homeward voyage encounter
1      | voyage encounter final
1      | encounter final monomania
1      | final monomania seized
1      | monomania seized fact
1      | seized fact intervals
1      | fact intervals passage
1      | intervals passage raving
1      | passage raving lunatic
1      | raving lunatic unlimbed
1      | lunatic unlimbed leg
1      | unlimbed leg vital
1      | leg vital strength
1      | vital strength lurked
1      | strength lurked egyptian
1      | lurked egyptian chest
1      | egyptian chest intensified
1      | chest intensified delirium
1      | intensified delirium mates
1      | delirium mates forced
1      | mates forced lace
1      | forced lace fast
1      | lace fast sailed
1      | fast sailed raving
1      | sailed raving hammock
1      | raving hammock strait
1      | hammock strait jacket
1      | strait jacket swung
1      | jacket swung mad
1      | swung mad rockings
1      | mad rockings gales
1      | rockings gales running
1      | gales running sufferable
1      | running sufferable latitudes
1      | sufferable latitudes ship
1      | latitudes ship mild
1      | ship mild stun'sails
1      | mild stun'sails spread
1      | stun'sails spread floated
1      | spread floated tranquil
1      | floated tranquil tropics
1      | tranquil tropics appearances
1      | tropics appearances man's
1      | appearances man's delirium
1      | man's delirium left
1      | delirium left cape
1      | left cape horn
1      | cape horn swells
1      | horn swells dark
1      | swells dark den
1      | dark den blessed
1      | den blessed light
1      | blessed light air
1      | light air bore
1      | air bore firm
1      | bore firm collected
1      | firm collected pale
1      | collected pale issued
1      | pale issued calm
1      | issued calm orders
1      | calm orders mates
1      | orders mates thanked
1      | mates thanked god
1      | thanked god direful
1      | god direful madness
1      | direful madness ahab
1      | madness ahab hidden
1      | ahab hidden raved
1      | hidden raved human
1      | raved human madness
1      | human madness oftentimes
1      | madness oftentimes cunning
1      | oftentimes cunning feline
1      | cunning feline fled
1      | feline fled transfigured
1      | fled transfigured subtler
1      | transfigured subtler form
1      | subtler form ahab's
1      | form ahab's lunacy
1      | ahab's lunacy subsided
1      | lunacy subsided deepeningly
1      | subsided deepeningly contracted
1      | deepeningly contracted unabated
1      | contracted unabated hudson
1      | unabated hudson noble
1      | hudson noble northman
1      | noble northman flows
1      | northman flows narrowly
1      | flows narrowly unfathomably
1      | narrowly unfathomably highland
1      | unfathomably highland gorge
1      | highland gorge narrow
1      | gorge narrow flowing
1      | narrow flowing monomania
1      | flowing monomania jot
1      | monomania jot ahab's
1      | jot ahab's broad
1      | ahab's broad madness
1      | broad madness left
1      | madness left broad
1      | left broad madness
1      | broad madness jot
1      | madness jot great
1      | jot great natural
1      | great natural intellect
1      | natural intellect perished
1      | intellect perished living
1      | perished living agent
1      | living agent living
1      | agent living instrument
1      | living instrument furious
1      | instrument furious trope
1      | furious trope stand
1      | trope stand special
1      | stand special lunacy
1      | special lunacy stormed
1      | lunacy stormed general
1      | stormed general sanity
1      | general sanity carried
1      | sanity carried turned
1      | carried turned concentred
1      | turned concentred cannon
1      | concentred cannon mad
1      | cannon mad mark
1      | mad mark lost
1      | mark lost strength
1      | lost strength ahab
1      | strength ahab possess
1      | ahab possess fold
1      | possess fold potency
1      | fold potency sanely
1      | potency sanely brought
1      | sanely brought bear
1      | brought bear reasonable
1      | bear reasonable object
1      | reasonable object ahab's
1      | object ahab's larger
1      | ahab's larger darker
1      | larger darker deeper
1      | darker deeper remains
1      | deeper remains unhinted
1      | remains unhinted vain
1      | unhinted vain popularize
1      | vain popularize profundities
1      | popularize profundities truth
1      | profundities truth profound
1      | truth profound winding
1      | profound winding heart
1      | winding heart spiked
1      | heart spiked hotel
1      | spiked hotel cluny
1      | hotel cluny stand
1      | cluny stand grand
1      | stand grand wonderful
1      | grand wonderful quit
1      | wonderful quit ye
1      | quit ye nobler
1      | ye nobler sadder
1      | nobler sadder souls
1      | sadder souls vast
1      | souls vast roman
1      | vast roman halls
1      | roman halls thermes
1      | halls thermes beneath
1      | thermes beneath fantastic
1      | beneath fantastic towers
1      | fantastic towers man's
1      | towers man's upper
1      | man's upper earth
1      | upper earth root
1      | earth root grandeur
1      | root grandeur awful
1      | grandeur awful essence
1      | awful essence sits
1      | essence sits bearded
1      | sits bearded antique
1      | bearded antique buried
1      | antique buried beneath
1      | buried beneath antiquities
1      | beneath antiquities throned
1      | antiquities throned torsoes
1      | throned torsoes broken
1      | torsoes broken throne
1      | broken throne great
1      | throne great gods
1      | great gods mock
1      | gods mock captive
1      | mock captive king
1      | captive king caryatid
1      | king caryatid patient
1      | caryatid patient sits
1      | patient sits upholding
1      | sits upholding frozen
1      | upholding frozen brow
1      | frozen brow piled
1      | brow piled entablatures
1      | piled entablatures ages
1      | entablatures ages wind
1      | ages wind ye
1      | wind ye ye
1      | ye ye prouder
1      | ye prouder sadder
1      | prouder sadder souls
1      | sadder souls question
1      | souls question sad
1      | question sad king
1      | sad king family
1      | king family likeness
1      | family likeness aye
1      | likeness aye beget
1      | aye beget ye
1      | beget ye ye
1      | ye ye young
1      | ye young exiled
1      | young exiled royalties
1      | exiled royalties grim
1      | royalties grim sire
1      | grim sire secret
1      | sire secret heart
1      | secret heart ahab
1      | heart ahab glimpse
1      | ahab glimpse sane
1      | glimpse sane motive
1      | sane motive object
1      | motive object mad
1      | object mad power
1      | mad power kill
1      | power kill change
1      | kill change shun
1      | change shun fact
1      | shun fact knew
1      | fact knew mankind
1      | knew mankind long
1      | mankind long dissemble
1      | long dissemble sort
1      | dissemble sort dissembling
1      | sort dissembling subject
1      | dissembling subject perceptibility
1      | subject perceptibility determinate
1      | perceptibility determinate succeed
1      | determinate succeed dissembling
1      | succeed dissembling ivory
1      | dissembling ivory leg
1      | ivory leg stepped
1      | leg stepped ashore
1      | stepped ashore nantucketer
1      | ashore nantucketer thought
1      | nantucketer thought naturally
1      | thought naturally grieved
1      | naturally grieved quick
1      | grieved quick terrible
1      | quick terrible casualty
1      | terrible casualty overtaken
1      | casualty overtaken report
1      | overtaken report undeniable
1      | report undeniable delirium
1      | undeniable delirium sea
1      | delirium sea popularly
1      | sea popularly ascribed
1      | popularly ascribed kindred
1      | ascribed kindred moodiness
1      | kindred moodiness day
1      | moodiness day sailing
1      | day sailing pequod
1      | sailing pequod voyage
1      | pequod voyage sat
1      | voyage sat brooding
1      | sat brooding brow
1      | brooding brow distrusting
1      | brow distrusting fitness
1      | distrusting fitness whaling
1      | fitness whaling voyage
1      | whaling voyage account
1      | voyage account dark
1      | account dark symptoms
1      | dark symptoms calculating
1      | symptoms calculating people
1      | calculating people prudent
1      | people prudent isle
1      | prudent isle inclined
1      | isle inclined harbor
1      | inclined harbor conceit
1      | harbor conceit reasons
1      | conceit reasons qualified
1      | reasons qualified set
1      | qualified set edge
1      | set edge pursuit
1      | edge pursuit rage
1      | pursuit rage wildness
1      | rage wildness bloody
1      | wildness bloody hunt
1      | bloody hunt whales
1      | hunt whales gnawed
1      | whales gnawed scorched
1      | gnawed scorched infixed
1      | scorched infixed unrelenting
1      | infixed unrelenting fangs
1      | unrelenting fangs incurable
1      | fangs incurable idea
1      | incurable idea man
1      | idea man dart
1      | man dart iron
1      | dart iron lift
1      | iron lift lance
1      | lift lance appalling
1      | lance appalling brutes
1      | appalling brutes reason
1      | brutes reason thought
1      | reason thought corporeally
1      | thought corporeally incapacitated
1      | corporeally incapacitated superlatively
1      | incapacitated superlatively competent
1      | superlatively competent cheer
1      | competent cheer howl
1      | cheer howl underlings
1      | howl underlings attack
1      | underlings attack mad
1      | attack mad secret
1      | mad secret unabated
1      | secret unabated rage
1      | unabated rage bolted
1      | rage bolted keyed
1      | bolted keyed ahab
1      | keyed ahab purposely
1      | ahab purposely sailed
1      | purposely sailed voyage
1      | sailed voyage engrossing
1      | voyage engrossing object
1      | engrossing object hunting
1      | object hunting white
1      | hunting white whale
1      | white whale acquaintances
1      | whale acquaintances shore
1      | acquaintances shore dreamed
1      | shore dreamed lurking
1      | dreamed lurking aghast
1      | lurking aghast righteous
1      | aghast righteous souls
1      | righteous souls wrenched
1      | souls wrenched ship
1      | wrenched ship fiendish
1      | ship fiendish man
1      | fiendish man bent
1      | man bent profitable
1      | bent profitable cruises
1      | profitable cruises profit
1      | cruises profit counted
1      | profit counted dollars
1      | counted dollars mint
1      | dollars mint intent
1      | mint intent audacious
1      | intent audacious immitigable
1      | audacious immitigable supernatural
1      | immitigable supernatural revenge
1      | supernatural revenge grey
1      | revenge grey headed
1      | grey headed ungodly
1      | headed ungodly man
1      | ungodly man chasing
1      | man chasing curses
1      | chasing curses job's
1      | curses job's whale
1      | job's whale head
1      | whale head crew
1      | head crew chiefly
1      | crew chiefly mongrel
1      | chiefly mongrel renegades
1      | mongrel renegades castaways
1      | renegades castaways cannibals
1      | castaways cannibals morally
1      | cannibals morally enfeebled
1      | morally enfeebled incompetence
1      | enfeebled incompetence mere
1      | incompetence mere unaided
1      | mere unaided virtue
1      | unaided virtue mindedness
1      | virtue mindedness starbuck
1      | mindedness starbuck invulnerable
1      | starbuck invulnerable jollity
1      | invulnerable jollity indifference
1      | jollity indifference recklessness
1      | indifference recklessness stubb
1      | recklessness stubb pervading
1      | stubb pervading mediocrity
1      | pervading mediocrity flask
1      | mediocrity flask crew
1      | flask crew officered
1      | crew officered specially
1      | officered specially picked
1      | specially picked packed
1      | picked packed infernal
1      | packed infernal fatality
1      | infernal fatality monomaniac
1      | fatality monomaniac revenge
1      | monomaniac revenge aboundingly
1      | revenge aboundingly responded
1      | aboundingly responded man's
1      | responded man's ire
1      | man's ire evil
1      | ire evil magic
1      | evil magic souls
1      | magic souls possessed
1      | souls possessed times
1      | possessed times hate
1      | times hate white
1      | white whale insufferable
1      | whale insufferable foe
1      | insufferable foe white
1      | foe white whale
1      | white whale unconscious
1      | whale unconscious understandings
1      | unconscious understandings dim
1      | understandings dim unsuspected
1      | dim unsuspected gliding
1      | unsuspected gliding great
1      | gliding great demon
1      | great demon seas
1      | demon seas life
1      | seas life explain
1      | life explain dive
1      | explain dive deeper
1      | dive deeper ishmael
1      | deeper ishmael subterranean
1      | ishmael subterranean miner
1      | subterranean miner works
1      | miner works leads
1      | works leads shaft
1      | leads shaft shifting
1      | shaft shifting muffled
1      | shifting muffled sound
1      | muffled sound pick
1      | sound pick feel
1      | pick feel irresistible
1      | feel irresistible arm
1      | irresistible arm drag
1      | arm drag skiff
1      | drag skiff tow
1      | skiff tow seventy
1      | tow seventy stand
1      | seventy stand abandonment
1      | stand abandonment time
1      | abandonment time place
1      | time place rush
1      | place rush encounter
1      | rush encounter whale
1      | encounter whale naught
1      | whale naught brute
1      | naught brute deadliest
1      | brute deadliest ill
1      | deadliest ill chapter
1      | ill chapter whiteness
1      | whiteness whale white
1      | whale ahab hinted
1      | ahab hinted times
1      | hinted times remains
1      | times remains unsaid
1      | remains unsaid obvious
1      | unsaid obvious considerations
1      | obvious considerations touching
1      | considerations touching moby
1      | touching moby dick
1      | moby dick occasionally
1      | dick occasionally awaken
1      | occasionally awaken man's
1      | awaken man's soul
1      | man's soul alarm
1      | soul alarm thought
1      | alarm thought vague
1      | thought vague nameless
1      | vague nameless horror
1      | nameless horror times
1      | horror times intensity
1      | times intensity completely
1      | intensity completely overpowered
1      | completely overpowered rest
1      | overpowered rest mystical
1      | rest mystical nigh
1      | mystical nigh ineffable
1      | nigh ineffable despair
1      | ineffable despair putting
1      | despair putting comprehensible
1      | putting comprehensible form
1      | comprehensible form whiteness
1      | form whiteness whale
1      | whiteness whale appalled
1      | whale appalled hope
1      | appalled hope explain
1      | hope explain dim
1      | explain dim random
1      | dim random explain
1      | random explain chapters
1      | explain chapters naught
1      | chapters naught natural
1      | naught natural objects
1      | natural objects whiteness
1      | objects whiteness refiningly
1      | whiteness refiningly enhances
1      | refiningly enhances beauty
1      | enhances beauty imparting
1      | beauty imparting special
1      | imparting special virtue
1      | special virtue marbles
1      | virtue marbles japonicas
1      | marbles japonicas pearls
1      | japonicas pearls nations
1      | pearls nations recognised
1      | nations recognised royal
1      | recognised royal preeminence
1      | royal preeminence hue
1      | preeminence hue barbaric
1      | hue barbaric grand
1      | barbaric grand kings
1      | grand kings pegu
1      | kings pegu placing
1      | pegu placing title
1      | placing title lord
1      | title lord white
1      | lord white elephants
1      | white elephants magniloquent
1      | elephants magniloquent ascriptions
1      | magniloquent ascriptions dominion
1      | ascriptions dominion modern
1      | dominion modern kings
1      | modern kings siam
1      | kings siam unfurling
1      | siam unfurling snow
1      | unfurling snow white
1      | snow white quadruped
1      | white quadruped royal
1      | quadruped royal standard
1      | royal standard hanoverian
1      | standard hanoverian flag
1      | hanoverian flag bearing
1      | flag bearing figure
1      | bearing figure snow
1      | figure snow white
1      | snow white charger
1      | white charger great
1      | charger great austrian
1      | great austrian empire
1      | austrian empire sarian
1      | empire sarian heir
1      | sarian heir overlording
1      | heir overlording rome
1      | overlording rome imperial
1      | rome imperial colour
1      | imperial colour imperial
1      | colour imperial hue
1      | imperial hue pre
1      | hue pre eminence
1      | pre eminence applies
1      | eminence applies human
1      | applies human race
1      | human race white
1      | race white man
1      | white man ideal
1      | man ideal mastership
1      | ideal mastership dusky
1      | mastership dusky tribe
1      | dusky tribe whiteness
1      | tribe whiteness gladness
1      | whiteness gladness romans
1      | gladness romans white
1      | romans white stone
1      | white stone marked
1      | stone marked joyful
1      | marked joyful day
1      | joyful day mortal
1      | day mortal sympathies
1      | mortal sympathies symbolizings
1      | sympathies symbolizings hue
1      | symbolizings hue emblem
1      | hue emblem touching
1      | emblem touching noble
1      | touching noble innocence
1      | noble innocence brides
1      | innocence brides benignity
1      | brides benignity age
1      | benignity age red
1      | age red men
1      | red men america
1      | men america white
1      | america white belt
1      | white belt wampum
1      | belt wampum deepest
1      | wampum deepest pledge
1      | deepest pledge honor
1      | pledge honor climes
1      | honor climes whiteness
1      | climes whiteness typifies
1      | whiteness typifies majesty
1      | typifies majesty justice
1      | majesty justice ermine
1      | justice ermine judge
1      | ermine judge contributes
1      | judge contributes daily
1      | contributes daily kings
1      | daily kings queens
1      | kings queens drawn
1      | queens drawn milk
1      | drawn milk white
1      | milk white steeds
1      | white steeds higher
1      | steeds higher mysteries
1      | higher mysteries august
1      | mysteries august religions
1      | august religions symbol
1      | religions symbol divine
1      | symbol divine spotlessness
1      | divine spotlessness power
1      | spotlessness power persian
1      | power persian worshippers
1      | persian worshippers white
1      | worshippers white forked
1      | white forked flame
1      | forked flame held
1      | flame held holiest
1      | held holiest altar
1      | holiest altar greek
1      | altar greek mythologies
1      | greek mythologies great
1      | mythologies great jove
1      | great jove incarnate
1      | jove incarnate snow
1      | incarnate snow white
1      | snow white bull
1      | white bull noble
1      | bull noble iroquois
1      | noble iroquois midwinter
1      | iroquois midwinter sacrifice
1      | midwinter sacrifice sacred
1      | sacrifice sacred white
1      | sacred white dog
1      | white dog holiest
1      | dog holiest festival
1      | holiest festival theology
1      | festival theology spotless
1      | theology spotless faithful
1      | spotless faithful creature
1      | faithful creature held
1      | creature held purest
1      | held purest envoy
1      | purest envoy send
1      | envoy send great
1      | send great spirit
1      | great spirit annual
1      | spirit annual tidings
1      | annual tidings fidelity
1      | tidings fidelity latin
1      | fidelity latin word
1      | latin word white
1      | word white christian
1      | white christian priests
1      | christian priests derive
1      | priests derive sacred
1      | derive sacred vesture
1      | sacred vesture alb
1      | vesture alb tunic
1      | alb tunic worn
1      | tunic worn beneath
1      | worn beneath cassock
1      | beneath cassock holy
1      | cassock holy pomps
1      | holy pomps romish
1      | pomps romish faith
1      | romish faith white
1      | faith white specially
1      | white specially employed
1      | specially employed celebration
1      | employed celebration passion
1      | celebration passion lord
1      | passion lord vision
1      | lord vision st
1      | vision st john
1      | st john white
1      | john white robes
1      | white robes redeemed
1      | robes redeemed elders
1      | redeemed elders stand
1      | elders stand clothed
1      | stand clothed white
1      | clothed white great
1      | white great white
1      | great white throne
1      | white throne holy
1      | throne holy sitteth
1      | holy sitteth white
1      | sitteth white wool
1      | white wool accumulated
1      | wool accumulated associations
1      | accumulated associations sweet
1      | associations sweet honorable
1      | sweet honorable sublime
1      | honorable sublime lurks
1      | sublime lurks elusive
1      | lurks elusive innermost
1      | elusive innermost idea
1      | innermost idea hue
1      | idea hue strikes
1      | hue strikes panic
1      | strikes panic soul
1      | panic soul redness
1      | soul redness affrights
1      | redness affrights blood
1      | affrights blood elusive
1      | blood elusive quality
1      | elusive quality thought
1      | quality thought whiteness
1      | thought whiteness divorced
1      | whiteness divorced kindly
1      | divorced kindly associations
1      | kindly associations coupled
1      | associations coupled object
1      | coupled object terrible
1      | object terrible heighten
1      | terrible heighten terror
1      | heighten terror furthest
1      | terror furthest bounds
1      | furthest bounds witness
1      | bounds witness white
1      | witness white bear
1      | white bear poles
1      | bear poles white
1      | poles white shark
1      | white shark tropics
1      | shark tropics smooth
1      | tropics smooth flaky
1      | smooth flaky whiteness
1      | flaky whiteness transcendent
1      | whiteness transcendent horrors
1      | transcendent horrors ghastly
1      | horrors ghastly whiteness
1      | ghastly whiteness imparts
1      | whiteness imparts abhorrent
1      | imparts abhorrent mildness
1      | abhorrent mildness loathsome
1      | mildness loathsome terrific
1      | loathsome terrific dumb
1      | terrific dumb gloating
1      | dumb gloating aspect
1      | gloating aspect fierce
1      | aspect fierce fanged
1      | fierce fanged tiger
1      | fanged tiger heraldic
1      | tiger heraldic coat
1      | heraldic coat stagger
1      | coat stagger courage
1      | stagger courage white
1      | courage white shrouded
1      | white shrouded bear
1      | shrouded bear shark
1      | bear shark reference
1      | shark reference polar
1      | reference polar bear
1      | polar bear urged
1      | bear urged fain
1      | urged fain deeper
1      | fain deeper matter
1      | deeper matter whiteness
1      | matter whiteness separately
1      | whiteness separately regarded
1      | separately regarded heightens
1      | regarded heightens intolerable
1      | heightens intolerable hideousness
1      | intolerable hideousness brute
1      | hideousness brute analysed
1      | brute analysed heightened
1      | analysed heightened hideousness
1      | heightened hideousness rises
1      | hideousness rises circumstance
1      | rises circumstance irresponsible
1      | circumstance irresponsible ferociousness
1      | irresponsible ferociousness creature
1      | ferociousness creature stands
1      | creature stands invested
1      | stands invested fleece
1      | invested fleece celestial
1      | fleece celestial innocence
1      | celestial innocence love
1      | innocence love bringing
1      | love bringing emotions
1      | bringing emotions minds
1      | emotions minds polar
1      | minds polar bear
1      | polar bear frightens
1      | bear frightens unnatural
1      | frightens unnatural contrast
1      | unnatural contrast assuming
1      | contrast assuming true
1      | assuming true whiteness
1      | true whiteness intensified
1      | whiteness intensified terror
1      | intensified terror white
1      | terror white shark
1      | white shark white
1      | shark white gliding
1      | white gliding ghostliness
1      | gliding ghostliness repose
1      | ghostliness repose creature
1      | repose creature beheld
1      | creature beheld ordinary
1      | beheld ordinary moods
1      | ordinary moods strangely
1      | moods strangely tallies
1      | strangely tallies quality
1      | tallies quality polar
1      | quality polar quadruped
1      | polar quadruped peculiarity
1      | quadruped peculiarity vividly
1      | peculiarity vividly hit
1      | vividly hit french
1      | hit french bestow
1      | french bestow fish
1      | bestow fish romish
1      | fish romish mass
1      | romish mass dead
1      | mass dead requiem
1      | dead requiem eternam
1      | requiem eternam eternal
1      | eternam eternal rest
1      | eternal rest requiem
1      | rest requiem denominating
1      | requiem denominating mass
1      | denominating mass funeral
1      | mass funeral music
1      | funeral music allusion
1      | music allusion white
1      | allusion white silent
1      | white silent stillness
1      | silent stillness death
1      | stillness death shark
1      | death shark mild
1      | shark mild deadliness
1      | mild deadliness habits
1      | deadliness habits french
1      | habits french requin
1      | french requin bethink
1      | requin bethink thee
1      | bethink thee albatross
1      | thee albatross clouds
1      | albatross clouds spiritual
1      | clouds spiritual wonderment
1      | spiritual wonderment pale
1      | wonderment pale dread
1      | pale dread white
1      | dread white phantom
1      | white phantom sails
1      | phantom sails imaginations
1      | sails imaginations coleridge
1      | imaginations coleridge threw
1      | coleridge threw spell
1      | threw spell god's
1      | spell god's great
1      | god's great unflattering
1      | great unflattering laureate
1      | unflattering laureate nature
1      | laureate nature remember
1      | nature remember albatross
1      | remember albatross prolonged
1      | albatross prolonged gale
1      | prolonged gale waters
1      | gale waters hard
1      | waters hard antarctic
1      | hard antarctic seas
1      | antarctic seas forenoon
1      | seas forenoon watch
1      | forenoon watch ascended
1      | watch ascended overclouded
1      | ascended overclouded deck
1      | overclouded deck dashed
1      | deck dashed main
1      | dashed main hatches
1      | main hatches regal
1      | hatches regal feathery
1      | regal feathery unspotted
1      | feathery unspotted whiteness
1      | unspotted whiteness hooked
1      | whiteness hooked roman
1      | hooked roman sublime
1      | roman sublime intervals
1      | sublime intervals arched
1      | intervals arched vast
1      | arched vast archangel
1      | vast archangel wings
1      | archangel wings embrace
1      | wings embrace holy
1      | embrace holy ark
1      | holy ark wondrous
1      | ark wondrous flutterings
1      | wondrous flutterings throbbings
1      | flutterings throbbings shook
1      | throbbings shook bodily
1      | shook bodily unharmed
1      | bodily unharmed uttered
1      | unharmed uttered cries
1      | uttered cries king's
1      | cries king's ghost
1      | king's ghost supernatural
1      | ghost supernatural distress
1      | supernatural distress inexpressible
1      | distress inexpressible strange
1      | inexpressible strange eyes
1      | strange eyes methought
1      | eyes methought peeped
1      | methought peeped secrets
1      | peeped secrets hold
1      | secrets hold god
1      | hold god abraham
1      | god abraham angels
1      | abraham angels bowed
1      | angels bowed white
1      | bowed white white
1      | white white wings
1      | white wings wide
1      | wings wide exiled
1      | wide exiled waters
1      | exiled waters lost
1      | waters lost miserable
1      | lost miserable warping
1      | miserable warping memories
1      | warping memories traditions
1      | memories traditions towns
1      | traditions towns long
1      | towns long gazed
1      | long gazed prodigy
1      | gazed prodigy plumage
1      | prodigy plumage hint
1      | plumage hint darted
1      | hint darted awoke
1      | darted awoke turning
1      | awoke turning asked
1      | turning asked sailor
1      | asked sailor bird
1      | sailor bird goney
1      | bird goney replied
1      | goney replied goney
1      | replied goney heard
1      | goney heard conceivable
1      | heard conceivable glorious
1      | conceivable glorious utterly
1      | glorious utterly unknown
1      | utterly unknown men
1      | unknown men ashore
1      | men ashore time
1      | ashore time learned
1      | time learned goney
1      | learned goney seaman's
1      | goney seaman's albatross
1      | seaman's albatross possibility
1      | albatross possibility coleridge's
1      | possibility coleridge's wild
1      | coleridge's wild rhyme
1      | wild rhyme aught
1      | rhyme aught mystical
1      | aught mystical impressions
1      | mystical impressions bird
1      | impressions bird deck
1      | bird deck read
1      | deck read rhyme
1      | read rhyme knew
1      | rhyme knew bird
1      | knew bird albatross
1      | bird albatross indirectly
1      | albatross indirectly burnish
1      | indirectly burnish brighter
1      | burnish brighter noble
1      | brighter noble merit
1      | noble merit poem
1      | merit poem poet
1      | poem poet assert
1      | poet assert wondrous
1      | assert wondrous bodily
1      | wondrous bodily whiteness
1      | bodily whiteness bird
1      | whiteness bird chiefly
1      | bird chiefly lurks
1      | chiefly lurks secret
1      | lurks secret spell
1      | secret spell truth
1      | spell truth evinced
1      | truth evinced solecism
1      | evinced solecism terms
1      | solecism terms birds
1      | terms birds called
1      | birds called grey
1      | called grey albatrosses
1      | grey albatrosses frequently
1      | albatrosses frequently emotions
1      | frequently emotions beheld
1      | emotions beheld antarctic
1      | beheld antarctic fowl
1      | antarctic fowl mystic
1      | fowl mystic caught
1      | mystic caught whisper
1      | caught whisper treacherous
1      | whisper treacherous hook
1      | treacherous hook fowl
1      | hook fowl floated
1      | fowl floated sea
1      | floated sea captain
1      | sea captain postman
1      | captain postman tying
1      | postman tying lettered
1      | tying lettered leathern
1      | lettered leathern tally
1      | leathern tally neck
1      | tally neck ship's
1      | neck ship's time
1      | ship's time place
1      | time place letting
1      | place letting escape
1      | letting escape doubt
1      | escape doubt leathern
1      | doubt leathern tally
1      | leathern tally meant
1      | tally meant man
1      | meant man heaven
1      | man heaven white
1      | heaven white fowl
1      | white fowl flew
1      | fowl flew join
1      | flew join wing
1      | join wing folding
1      | wing folding invoking
1      | folding invoking adoring
1      | invoking adoring cherubim
1      | adoring cherubim famous
1      | cherubim famous western
1      | famous western annals
1      | western annals indian
1      | annals indian traditions
1      | indian traditions white
1      | traditions white steed
1      | white steed prairies
1      | steed prairies magnificent
1      | prairies magnificent milk
1      | magnificent milk white
1      | milk white charger
1      | white charger large
1      | charger large eyed
1      | large eyed small
1      | eyed small headed
1      | small headed bluff
1      | headed bluff chested
1      | bluff chested dignity
1      | chested dignity monarchs
1      | dignity monarchs lofty
1      | monarchs lofty overscorning
1      | lofty overscorning carriage
1      | overscorning carriage elected
1      | carriage elected xerxes
1      | elected xerxes vast
1      | xerxes vast herds
1      | vast herds wild
1      | herds wild horses
1      | wild horses pastures
1      | horses pastures days
1      | pastures days fenced
1      | days fenced rocky
1      | fenced rocky mountains
1      | rocky mountains alleghanies
1      | mountains alleghanies flaming
1      | alleghanies flaming head
1      | flaming head westward
1      | head westward trooped
1      | westward trooped chosen
1      | trooped chosen star
1      | chosen star evening
1      | star evening leads
1      | evening leads hosts
1      | leads hosts light
1      | hosts light flashing
1      | light flashing cascade
1      | flashing cascade mane
1      | cascade mane curving
1      | mane curving comet
1      | curving comet tail
1      | comet tail invested
1      | tail invested housings
1      | invested housings resplendent
1      | housings resplendent gold
1      | resplendent gold silver
1      | gold silver beaters
1      | silver beaters furnished
1      | beaters furnished imperial
1      | furnished imperial archangelical
1      | imperial archangelical apparition
1      | archangelical apparition unfallen
1      | apparition unfallen western
1      | unfallen western eyes
1      | western eyes trappers
1      | eyes trappers hunters
1      | trappers hunters revived
1      | hunters revived glories
1      | revived glories primeval
1      | glories primeval times
1      | primeval times adam
1      | times adam walked
1      | adam walked majestic
1      | walked majestic god
1      | majestic god bluff
1      | god bluff browed
1      | bluff browed fearless
1      | browed fearless mighty
1      | fearless mighty steed
1      | mighty steed marching
1      | steed marching aides
1      | marching aides marshals
1      | aides marshals van
1      | marshals van countless
1      | van countless cohorts
1      | countless cohorts endlessly
1      | cohorts endlessly streamed
1      | endlessly streamed plains
1      | streamed plains ohio
1      | plains ohio circumambient
1      | ohio circumambient subjects
1      | circumambient subjects browsing
1      | subjects browsing horizon
1      | browsing horizon white
1      | horizon white steed
1      | white steed gallopingly
1      | steed gallopingly reviewed
1      | gallopingly reviewed warm
1      | reviewed warm nostrils
1      | warm nostrils reddening
1      | nostrils reddening cool
1      | reddening cool milkiness
1      | cool milkiness aspect
1      | milkiness aspect presented
1      | aspect presented bravest
1      | presented bravest indians
1      | bravest indians object
1      | indians object trembling
1      | object trembling reverence
1      | trembling reverence awe
1      | reverence awe questioned
1      | awe questioned stands
1      | questioned stands legendary
1      | stands legendary record
1      | legendary record noble
1      | record noble horse
1      | noble horse spiritual
1      | horse spiritual whiteness
1      | spiritual whiteness chiefly
1      | whiteness chiefly clothed
1      | chiefly clothed divineness
1      | clothed divineness divineness
1      | divineness divineness commanding
1      | divineness commanding worship
1      | commanding worship time
1      | worship time enforced
1      | time enforced nameless
1      | enforced nameless terror
1      | nameless terror instances
1      | terror instances whiteness
1      | instances whiteness loses
1      | whiteness loses accessory
1      | loses accessory strange
1      | accessory strange glory
1      | strange glory invests
1      | glory invests white
1      | invests white steed
1      | white steed albatross
1      | steed albatross albino
1      | albatross albino man
1      | albino man peculiarly
1      | man peculiarly repels
1      | peculiarly repels shocks
1      | repels shocks eye
1      | shocks eye loathed
1      | eye loathed kith
1      | loathed kith kin
